split,filename,domain,lhs_class,rhs_class,lhs_area,rhs_area,violation_ratio,objects_in_image,lhs_bbox_index,rhs_bbox_index,review_reason
train,DAMIMAS_A21B_0753_3.jpg,DAMIMAS,B1,B3,12603,30325,2.406,4,3,1,B1 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0756_2.jpg,DAMIMAS,B3,B4,8552,20574,2.406,6,3,2,B3 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0641_4.jpg,DAMIMAS,B1,B3,21753,52291,2.404,5,0,2,B1 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0261_3.jpg,DAMIMAS,B3,B4,4751,11417,2.403,6,4,3,B3 lebih kecil dari B4 dalam gambar yang sama
val,DAMIMAS_A21B_0745_4.jpg,DAMIMAS,B3,B4,5026,12074,2.403,7,6,1,B3 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0815_5.jpg,DAMIMAS,B3,B4,3501,8410,2.402,8,5,6,B3 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0305_2.jpg,DAMIMAS,B3,B4,4201,10089,2.402,6,4,3,B3 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0389_4.jpg,DAMIMAS,B2,B4,1793,4306,2.402,7,0,3,B2 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0384_4.jpg,DAMIMAS,B2,B4,6302,15122,2.400,6,5,3,B2 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0418_4.jpg,DAMIMAS,B3,B4,6097,14626,2.399,7,6,3,B3 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0820_1.jpg,DAMIMAS,B2,B3,9869,23632,2.395,6,5,4,B2 lebih kecil dari B3 dalam gambar yang sama
test,DAMIMAS_A21B_0654_1.jpg,DAMIMAS,B2,B3,5961,14270,2.394,7,1,5,B2 lebih kecil dari B3 dalam gambar yang sama
test,DAMIMAS_A21B_0678_1.jpg,DAMIMAS,B3,B4,11306,27065,2.394,6,3,0,B3 lebih kecil dari B4 dalam gambar yang sama
test,DAMIMAS_A21B_0046_1.jpg,DAMIMAS,B3,B4,6663,15936,2.392,4,2,0,B3 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0367_3.jpg,DAMIMAS,B2,B3,2524,6036,2.391,4,2,1,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0062_4.jpg,DAMIMAS,B1,B4,4148,9911,2.389,6,0,4,B1 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0705_1.jpg,DAMIMAS,B3,B4,9544,22797,2.389,7,4,3,B3 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0676_4.jpg,DAMIMAS,B3,B4,9961,23791,2.388,7,4,6,B3 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0832_3.jpg,DAMIMAS,B2,B3,12316,29347,2.383,5,4,0,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0163_4.jpg,DAMIMAS,B2,B3,7122,16954,2.381,8,7,4,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0634_1.jpg,DAMIMAS,B1,B4,11287,26842,2.378,8,1,4,B1 lebih kecil dari B4 dalam gambar yang sama
test,DAMIMAS_A21B_0672_1.jpg,DAMIMAS,B3,B4,9653,22931,2.375,6,5,4,B3 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0627_4.jpg,DAMIMAS,B1,B2,17943,42603,2.374,5,0,3,B1 lebih kecil dari B2 dalam gambar yang sama
test,DAMIMAS_A21B_0402_1.jpg,DAMIMAS,B3,B4,5010,11892,2.374,6,5,4,B3 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0498_2.jpg,DAMIMAS,B1,B2,6637,15727,2.369,8,2,1,B1 lebih kecil dari B2 dalam gambar yang sama
train,DAMIMAS_A21B_0566_2.jpg,DAMIMAS,B2,B3,7452,17651,2.368,7,5,3,B2 lebih kecil dari B3 dalam gambar yang sama
test,DAMIMAS_A21B_0616_1.jpg,DAMIMAS,B1,B3,15126,35806,2.367,5,0,1,B1 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0693_1.jpg,DAMIMAS,B2,B3,11135,26348,2.366,6,5,3,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0174_4.jpg,DAMIMAS,B3,B4,4955,11717,2.365,7,2,4,B3 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0553_2.jpg,DAMIMAS,B1,B2,9800,23157,2.363,6,0,2,B1 lebih kecil dari B2 dalam gambar yang sama
test,DAMIMAS_A21B_0591_1.jpg,DAMIMAS,B1,B3,6331,14958,2.363,7,6,5,B1 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0669_3.jpg,DAMIMAS,B2,B3,4759,11240,2.362,7,0,3,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0569_4.jpg,DAMIMAS,B2,B3,6675,15759,2.361,6,5,1,B2 lebih kecil dari B3 dalam gambar yang sama
val,DAMIMAS_A21B_0697_3.jpg,DAMIMAS,B3,B4,3412,8055,2.361,7,3,1,B3 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0610_1.jpg,DAMIMAS,B3,B4,28215,66538,2.358,3,2,1,B3 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0523_1.jpg,DAMIMAS,B1,B2,4973,11716,2.356,5,2,1,B1 lebih kecil dari B2 dalam gambar yang sama
train,DAMIMAS_A21B_0086_4.jpg,DAMIMAS,B1,B3,5985,14097,2.356,5,4,2,B1 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0833_8.jpg,DAMIMAS,B1,B3,12551,29554,2.355,3,1,2,B1 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0600_2.jpg,DAMIMAS,B1,B3,18623,43845,2.354,8,1,5,B1 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0139_3.jpg,DAMIMAS,B2,B3,3717,8743,2.352,4,2,3,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0292_2.jpg,DAMIMAS,B3,B4,8069,18967,2.351,7,4,6,B3 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0105_2.jpg,DAMIMAS,B2,B4,6277,14747,2.349,5,0,3,B2 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0159_1.jpg,DAMIMAS,B2,B3,3308,7766,2.347,4,3,1,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0553_3.jpg,DAMIMAS,B2,B3,2980,6995,2.347,5,3,1,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0784_4.jpg,DAMIMAS,B2,B3,10272,24098,2.346,4,0,1,B2 lebih kecil dari B3 dalam gambar yang sama
test,LONSUM_A21A_0067_4.jpg,LONSUM,B2,B3,3942,9231,2.342,6,1,3,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0621_3.jpg,DAMIMAS,B3,B4,5204,12185,2.341,7,6,5,B3 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0413_4.jpg,DAMIMAS,B2,B4,7549,17670,2.341,7,0,5,B2 lebih kecil dari B4 dalam gambar yang sama
val,DAMIMAS_A21B_0745_4.jpg,DAMIMAS,B2,B3,6954,16270,2.340,7,4,2,B2 lebih kecil dari B3 dalam gambar yang sama
val,DAMIMAS_A21B_0725_2.jpg,DAMIMAS,B2,B3,22995,53800,2.340,3,0,1,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0600_1.jpg,DAMIMAS,B3,B4,5214,12191,2.338,7,1,2,B3 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0389_1.jpg,DAMIMAS,B3,B4,1828,4272,2.338,7,1,2,B3 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0660_2.jpg,DAMIMAS,B2,B4,10568,24698,2.337,4,3,1,B2 lebih kecil dari B4 dalam gambar yang sama
val,DAMIMAS_A21B_0173_4.jpg,DAMIMAS,B1,B3,9015,21060,2.336,5,0,2,B1 lebih kecil dari B3 dalam gambar yang sama
test,DAMIMAS_A21B_0591_1.jpg,DAMIMAS,B1,B2,6331,14784,2.335,7,6,3,B1 lebih kecil dari B2 dalam gambar yang sama
train,DAMIMAS_A21B_0677_1.jpg,DAMIMAS,B3,B4,6225,14535,2.335,8,2,1,B3 lebih kecil dari B4 dalam gambar yang sama
test,DAMIMAS_A21B_0674_4.jpg,DAMIMAS,B1,B2,13628,31805,2.334,4,3,0,B1 lebih kecil dari B2 dalam gambar yang sama
train,DAMIMAS_A21B_0610_3.jpg,DAMIMAS,B2,B3,15885,37053,2.333,6,5,2,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0274_4.jpg,DAMIMAS,B1,B3,7578,17667,2.332,5,1,0,B1 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0365_2.jpg,DAMIMAS,B3,B4,3496,8150,2.331,8,7,2,B3 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0101_4.jpg,DAMIMAS,B2,B3,4004,9332,2.331,5,3,2,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0008_1.jpg,DAMIMAS,B2,B3,3039,7083,2.330,4,3,1,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0645_1.jpg,DAMIMAS,B3,B4,25856,60249,2.330,3,2,0,B3 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0809_2.jpg,DAMIMAS,B2,B3,11471,26687,2.327,6,5,2,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0681_2.jpg,DAMIMAS,B1,B3,23202,53969,2.326,8,0,2,B1 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0149_1.jpg,DAMIMAS,B1,B3,8019,18651,2.326,7,0,6,B1 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0818_2.jpg,DAMIMAS,B2,B3,7552,17558,2.325,6,0,3,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0741_2.jpg,DAMIMAS,B2,B3,19559,45467,2.325,6,3,1,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0656_1.jpg,DAMIMAS,B1,B3,17268,40128,2.324,7,4,2,B1 lebih kecil dari B3 dalam gambar yang sama
val,DAMIMAS_A21B_0614_4.jpg,DAMIMAS,B2,B3,8299,19283,2.324,7,1,4,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0685_4.jpg,DAMIMAS,B2,B3,10498,24390,2.323,6,0,1,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0756_3.jpg,DAMIMAS,B3,B4,7616,17693,2.323,7,3,2,B3 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0617_3.jpg,DAMIMAS,B1,B3,13235,30737,2.322,5,4,3,B1 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0689_3.jpg,DAMIMAS,B2,B3,20322,47189,2.322,6,0,3,B2 lebih kecil dari B3 dalam gambar yang sama
test,DAMIMAS_A21B_0294_1.jpg,DAMIMAS,B3,B4,2783,6461,2.321,6,4,5,B3 lebih kecil dari B4 dalam gambar yang sama
test,DAMIMAS_A21B_0161_2.jpg,DAMIMAS,B3,B4,5059,11740,2.321,5,4,2,B3 lebih kecil dari B4 dalam gambar yang sama
test,DAMIMAS_A21B_0402_1.jpg,DAMIMAS,B3,B4,5126,11892,2.320,6,3,4,B3 lebih kecil dari B4 dalam gambar yang sama
val,DAMIMAS_A21B_0614_4.jpg,DAMIMAS,B1,B2,17576,40744,2.318,7,6,0,B1 lebih kecil dari B2 dalam gambar yang sama
train,DAMIMAS_A21B_0169_3.jpg,DAMIMAS,B3,B4,6227,14433,2.318,6,1,5,B3 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0598_1.jpg,DAMIMAS,B2,B3,16990,39353,2.316,4,3,2,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0470_3.jpg,DAMIMAS,B2,B3,1044,2418,2.316,6,2,4,B2 lebih kecil dari B3 dalam gambar yang sama
val,DAMIMAS_A21B_0173_4.jpg,DAMIMAS,B1,B3,9015,20860,2.314,5,0,3,B1 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0656_1.jpg,DAMIMAS,B1,B3,17268,39885,2.310,7,4,0,B1 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0722_1.jpg,DAMIMAS,B2,B3,2949,6811,2.309,2,0,1,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0470_2.jpg,DAMIMAS,B2,B4,3377,7798,2.309,5,2,3,B2 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0034_3.jpg,DAMIMAS,B3,B4,3178,7328,2.306,4,3,1,B3 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0058_4.jpg,DAMIMAS,B3,B4,4146,9560,2.306,4,1,2,B3 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0768_2.jpg,DAMIMAS,B2,B3,5438,12524,2.303,4,3,2,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0164_2.jpg,DAMIMAS,B3,B4,10249,23588,2.301,6,5,2,B3 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0221_4.jpg,DAMIMAS,B1,B3,13557,31202,2.301,7,2,1,B1 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0639_1.jpg,DAMIMAS,B3,B4,6710,15426,2.299,7,2,3,B3 lebih kecil dari B4 dalam gambar yang sama
test,LONSUM_A21A_0067_2.jpg,LONSUM,B2,B3,6624,15220,2.298,4,0,2,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0638_1.jpg,DAMIMAS,B1,B2,23504,54001,2.298,5,3,1,B1 lebih kecil dari B2 dalam gambar yang sama
train,DAMIMAS_A21B_0611_1.jpg,DAMIMAS,B2,B3,10280,23607,2.296,6,2,5,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0306_1.jpg,DAMIMAS,B2,B3,5010,11482,2.292,2,1,0,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0274_4.jpg,DAMIMAS,B3,B4,5357,12275,2.291,5,3,4,B3 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0163_4.jpg,DAMIMAS,B1,B4,4575,10482,2.291,8,0,2,B1 lebih kecil dari B4 dalam gambar yang sama
test,DAMIMAS_A21B_0678_2.jpg,DAMIMAS,B3,B4,18467,42295,2.290,5,2,4,B3 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0527_1.jpg,DAMIMAS,B2,B3,6662,15256,2.290,4,3,0,B2 lebih kecil dari B3 dalam gambar yang sama
test,DAMIMAS_A21B_0497_2.jpg,DAMIMAS,B2,B3,5755,13174,2.289,6,5,0,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0357_3.jpg,DAMIMAS,B2,B3,5140,11766,2.289,6,2,0,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0155_3.jpg,DAMIMAS,B3,B4,4801,10985,2.288,6,3,4,B3 lebih kecil dari B4 dalam gambar yang sama
test,DAMIMAS_A21B_0490_2.jpg,DAMIMAS,B3,B4,2623,6001,2.288,6,5,4,B3 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0313_2.jpg,DAMIMAS,B1,B2,8651,19784,2.287,7,1,3,B1 lebih kecil dari B2 dalam gambar yang sama
train,DAMIMAS_A21B_0671_1.jpg,DAMIMAS,B3,B4,20592,47084,2.287,5,2,3,B3 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0574_4.jpg,DAMIMAS,B3,B4,5783,13222,2.286,4,3,2,B3 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0680_3.jpg,DAMIMAS,B3,B4,20970,47923,2.285,7,3,2,B3 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0600_2.jpg,DAMIMAS,B3,B4,12542,28615,2.281,8,6,4,B3 lebih kecil dari B4 dalam gambar yang sama
test,DAMIMAS_A21B_0222_1.jpg,DAMIMAS,B2,B3,5473,12480,2.280,5,0,1,B2 lebih kecil dari B3 dalam gambar yang sama
val,DAMIMAS_A21B_0682_2.jpg,DAMIMAS,B2,B3,14468,32992,2.280,6,3,1,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0626_2.jpg,DAMIMAS,B3,B4,9666,22028,2.279,8,7,5,B3 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0369_3.jpg,DAMIMAS,B2,B3,5953,13560,2.278,5,1,0,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0734_2.jpg,DAMIMAS,B2,B3,10228,23277,2.276,4,2,0,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0482_2.jpg,DAMIMAS,B2,B3,2965,6745,2.274,6,2,0,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0579_4.jpg,DAMIMAS,B2,B3,7495,17025,2.272,7,1,2,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0186_1.jpg,DAMIMAS,B1,B3,3715,8432,2.270,4,3,2,B1 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0773_1.jpg,DAMIMAS,B2,B3,8055,18279,2.269,6,5,1,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0410_2.jpg,DAMIMAS,B1,B3,4548,10319,2.269,8,4,7,B1 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0739_1.jpg,DAMIMAS,B3,B4,9250,20975,2.268,6,5,0,B3 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0815_6.jpg,DAMIMAS,B2,B3,12416,28139,2.266,7,6,1,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0287_2.jpg,DAMIMAS,B1,B2,6080,13773,2.265,3,0,2,B1 lebih kecil dari B2 dalam gambar yang sama
train,DAMIMAS_A21B_0069_4.jpg,DAMIMAS,B1,B3,5904,13372,2.265,5,0,1,B1 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0416_4.jpg,DAMIMAS,B3,B4,13174,29831,2.264,6,3,5,B3 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0747_4.jpg,DAMIMAS,B3,B4,12771,28916,2.264,8,1,3,B3 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0034_3.jpg,DAMIMAS,B3,B4,3178,7195,2.264,4,3,0,B3 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0237_4.jpg,DAMIMAS,B3,B4,5676,12843,2.263,5,3,4,B3 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0350_4.jpg,DAMIMAS,B1,B2,2825,6389,2.262,4,0,2,B1 lebih kecil dari B2 dalam gambar yang sama
test,DAMIMAS_A21B_0246_1.jpg,DAMIMAS,B2,B4,936,2116,2.261,7,3,5,B2 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0312_4.jpg,DAMIMAS,B2,B4,3538,7985,2.257,6,4,5,B2 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0362_2.jpg,DAMIMAS,B2,B3,5412,12210,2.256,7,5,1,B2 lebih kecil dari B3 dalam gambar yang sama
val,DAMIMAS_A21B_0783_4.jpg,DAMIMAS,B2,B3,8862,19978,2.254,6,1,5,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0679_2.jpg,DAMIMAS,B2,B3,33329,75131,2.254,6,5,4,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0561_4.jpg,DAMIMAS,B3,B4,6908,15563,2.253,7,2,1,B3 lebih kecil dari B4 dalam gambar yang sama
test,DAMIMAS_A21B_0490_2.jpg,DAMIMAS,B1,B4,6335,14271,2.253,6,1,3,B1 lebih kecil dari B4 dalam gambar yang sama
train,LONSUM_A21A_0001_1.jpg,LONSUM,B3,B4,9848,22183,2.253,2,1,0,B3 lebih kecil dari B4 dalam gambar yang sama
train,LONSUM_A21A_0044_4.jpg,LONSUM,B2,B3,4265,9601,2.251,3,2,0,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0769_4.jpg,DAMIMAS,B3,B4,4892,11005,2.250,7,1,4,B3 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0635_3.jpg,DAMIMAS,B1,B2,21137,47523,2.248,5,3,1,B1 lebih kecil dari B2 dalam gambar yang sama
train,DAMIMAS_A21B_0721_3.jpg,DAMIMAS,B2,B3,23349,52486,2.248,8,5,2,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0816_3.jpg,DAMIMAS,B1,B3,7791,17498,2.246,7,0,4,B1 lebih kecil dari B3 dalam gambar yang sama
train,LONSUM_A21A_0058_1.jpg,LONSUM,B2,B3,13840,31070,2.245,5,3,1,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0567_3.jpg,DAMIMAS,B1,B2,9041,20277,2.243,7,5,1,B1 lebih kecil dari B2 dalam gambar yang sama
train,DAMIMAS_A21B_0646_2.jpg,DAMIMAS,B2,B4,22483,50386,2.241,4,1,3,B2 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0281_2.jpg,DAMIMAS,B3,B4,4069,9118,2.241,5,2,1,B3 lebih kecil dari B4 dalam gambar yang sama
val,DAMIMAS_A21B_0063_1.jpg,DAMIMAS,B2,B3,3983,8919,2.239,4,1,3,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0501_1.jpg,DAMIMAS,B3,B4,1450,3245,2.239,7,2,6,B3 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0029_1.jpg,DAMIMAS,B2,B4,2230,4991,2.238,6,4,2,B2 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0792_1.jpg,DAMIMAS,B2,B3,5757,12884,2.238,7,5,6,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0823_3.jpg,DAMIMAS,B1,B3,15412,34481,2.237,7,0,4,B1 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0163_4.jpg,DAMIMAS,B1,B2,4575,10225,2.235,8,0,5,B1 lebih kecil dari B2 dalam gambar yang sama
train,DAMIMAS_A21B_0493_4.jpg,DAMIMAS,B2,B3,5092,11375,2.234,5,3,0,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0350_4.jpg,DAMIMAS,B1,B3,2825,6310,2.233,4,0,3,B1 lebih kecil dari B3 dalam gambar yang sama
val,DAMIMAS_A21B_0103_4.jpg,DAMIMAS,B1,B2,12263,27385,2.233,9,0,2,B1 lebih kecil dari B2 dalam gambar yang sama
train,DAMIMAS_A21B_0062_4.jpg,DAMIMAS,B1,B4,4148,9263,2.233,6,0,3,B1 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0828_4.jpg,DAMIMAS,B1,B2,10218,22784,2.230,7,1,0,B1 lebih kecil dari B2 dalam gambar yang sama
train,DAMIMAS_A21B_0394_2.jpg,DAMIMAS,B2,B3,6518,14522,2.228,6,1,3,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0213_1.jpg,DAMIMAS,B2,B3,7119,15860,2.228,6,0,2,B2 lebih kecil dari B3 dalam gambar yang sama
val,DAMIMAS_A21B_0829_8.jpg,DAMIMAS,B1,B3,14975,33315,2.225,6,3,1,B1 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0854_3.jpg,DAMIMAS,B2,B3,13486,29978,2.223,5,4,1,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0635_1.jpg,DAMIMAS,B2,B3,14174,31502,2.223,9,4,3,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0374_1.jpg,DAMIMAS,B2,B3,3757,8344,2.221,7,2,1,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0314_1.jpg,DAMIMAS,B3,B4,5210,11559,2.219,6,2,3,B3 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0266_1.jpg,DAMIMAS,B2,B3,5106,11330,2.219,6,0,4,B2 lebih kecil dari B3 dalam gambar yang sama
val,DAMIMAS_A21B_0839_2.jpg,DAMIMAS,B1,B3,2844,6306,2.217,5,1,2,B1 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0561_3.jpg,DAMIMAS,B2,B3,19833,43979,2.217,5,3,1,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0635_2.jpg,DAMIMAS,B1,B2,18647,41339,2.217,7,6,5,B1 lebih kecil dari B2 dalam gambar yang sama
test,DAMIMAS_A21B_0178_2.jpg,DAMIMAS,B2,B4,8352,18500,2.215,5,0,2,B2 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0842_6.jpg,DAMIMAS,B2,B3,10748,23801,2.215,6,5,1,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0746_4.jpg,DAMIMAS,B2,B4,4053,8965,2.212,6,2,4,B2 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0741_4.jpg,DAMIMAS,B1,B3,12456,27487,2.207,7,6,2,B1 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0803_4.jpg,DAMIMAS,B2,B3,17277,38099,2.205,7,6,4,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0265_1.jpg,DAMIMAS,B2,B3,4051,8926,2.203,6,2,5,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0801_4.jpg,DAMIMAS,B3,B4,18099,39831,2.201,5,1,2,B3 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0367_4.jpg,DAMIMAS,B2,B3,5114,11241,2.198,5,3,0,B2 lebih kecil dari B3 dalam gambar yang sama
test,DAMIMAS_A21B_0640_2.jpg,DAMIMAS,B3,B4,6424,14117,2.197,6,2,4,B3 lebih kecil dari B4 dalam gambar yang sama
test,DAMIMAS_A21B_0302_2.jpg,DAMIMAS,B2,B3,7972,17513,2.197,4,1,0,B2 lebih kecil dari B3 dalam gambar yang sama
test,DAMIMAS_A21B_0712_4.jpg,DAMIMAS,B3,B4,9650,21194,2.196,7,6,4,B3 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0052_4.jpg,DAMIMAS,B1,B2,6151,13503,2.195,7,6,1,B1 lebih kecil dari B2 dalam gambar yang sama
